tweet_id,date,text,likes,retweets,replies,views,length,hashtags,mentions,links,author,outlet,handle,sentiment,sentiment_label
1885473508186067343,Fri Jan 31 23:41:29 +0000 2025,"Shakira lanza una nueva versión de su clásico ‘Estoy aquí’, del álbum ‘Pies descalzos’ (1995), con el DJ brasileño Papatinho. https://t.co/PRPAPKztIE",14,4,0,7611,149,0,0,1,EFEnoticias,Agencia EFE,EFEnoticias,0.0,neutral
1885461198159614052,Fri Jan 31 22:52:34 +0000 2025,#ÚLTIMAHORA | Venezuela aboga por canales diplomáticos abiertos con EE.UU. tras la visita del enviado de Trump. https://t.co/oSX6qGUOBa,79,41,13,21062,135,1,0,1,EFEnoticias,Agencia EFE,EFEnoticias,0.0,neutral
1885460193540026622,Fri Jan 31 22:48:34 +0000 2025,"El presidente de EE.UU., Donald Trump, anuncia que, a partir del 18 de febrero, impondrá aranceles al petróleo y gas que el país importa.
https://t.co/4Z6wlJCMlW",20,9,5,10278,161,0,0,1,EFEnoticias,Agencia EFE,EFEnoticias,0.0,neutral
1885459128979509499,Fri Jan 31 22:44:21 +0000 2025,"Estados Unidos afirma, tras la reanudación de la atención consular en Bogotá y la emisión de visados, que su compromiso de cooperación con Colombia se mantiene firme.
https://t.co/7rt1PfFuli",10,4,1,8430,190,0,0,1,EFEnoticias,Agencia EFE,EFEnoticias,0.0,neutral
1885458867422654889,Fri Jan 31 22:43:18 +0000 2025,"Disney anuncia una nueva colección de vestidos de novia para 2025 que rinde homenaje a sus princesas, fruto de su colaboración con Allure Bridals, que llega a su sexto año de trabajo conjunto.
https://t.co/ZsrhZhMONO",4,3,3,8570,216,0,0,1,EFEnoticias,Agencia EFE,EFEnoticias,0.0,neutral
1885457864128344214,Fri Jan 31 22:39:19 +0000 2025,"Ecuador entra en su última semana de campaña electoral, con el presidente Daniel Noboa y la candidata del correísmo, Luisa González, como los principales favoritos. https://t.co/OEyLrq6EBL",6,4,2,8250,188,0,0,1,EFEnoticias,Agencia EFE,EFEnoticias,0.0,neutral
1885457821698756979,Fri Jan 31 22:39:09 +0000 2025,"""No aceptan nuestros vehículos no aceptan nuestros productos agrícolas, esencialmente no aceptan casi nada, y tenemos un enorme déficit con la Unión Europea. Así que haremos algo muy importante, vamos a equilibrar la balanza"", añadió Trump. https://t.co/q947TxDDYn",13,7,6,8973,264,0,0,1,EFEnoticias,Agencia EFE,EFEnoticias,-0.5267,negative
1885452649346015291,Fri Jan 31 22:18:36 +0000 2025,"VIDEO | El expresidente de Bolivia Jorge 'Tuto' Quiroga denuncia que el Gobierno ""desempolvó"" un proceso judicial por un caso de hace 15 años para inhabilitar su candidatura en las elecciones presidenciales del próximo 17 de agosto. https://t.co/CffpYvSbfI",3,2,1,9736,256,0,0,1,EFEnoticias,Agencia EFE,EFEnoticias,0.0,neutral
1885451519715090658,Fri Jan 31 22:14:06 +0000 2025,"La portavoz de la Casa Blanca, Karoline Leavitt, afirma que el presidente de EE.UU., Donald Trump, no reconoce a Nicolás Maduro como presidente de Venezuela, pese a haber encargado a su enviado especial de Richard Grenell que viajara al país caribeño. https://t.co/OWBKOZhegk https://t.co/N3HcfWK4ge",37,14,3,10372,299,0,0,2,EFEnoticias,Agencia EFE,EFEnoticias,-0.296,negative
1885450197225865273,Fri Jan 31 22:08:51 +0000 2025,"""Biden fue y compraron millones de barriles de petróleo. No voy a permitir que vuelva a pasar algo así de estúpido"", afirmó Trump sobre Venezuela. https://t.co/OWBKOZhegk https://t.co/YHv7DlteAO",26,17,2,10673,194,0,0,2,EFEnoticias,Agencia EFE,EFEnoticias,-0.296,negative
